Summary,Issue Type,Priority,Description,Labels,Sprint,Original Estimate,Dependencies,Acceptance Criteria,KPI,Team,External ID
CW-001 - Definir diccionario de eventos,Task,Highest,"Definir nombres, payload y reglas de versionado para user_registered, idcar_created, alert_configured, first_value_seen, plus_conversion_triggered",carswise execution-plan team-data sprint-0,Sprint 0,8h,,Documento aprobado por Producto y Tech,Cobertura de eventos canónicos,DATA,CW-001
CW-002 - Endpoint de tracking con idempotencia,Task,Highest,Crear endpoint backend para registrar eventos con control de duplicados por idempotency_key,carswise execution-plan team-be sprint-0,Sprint 0,16h,CW-001,Endpoint operativo en staging y producción; sin duplicados,Tasa de duplicados menor al 1%,BE,CW-002
CW-003 - Tracking de registro,Task,Highest,Emitir user_registered al completar alta,carswise execution-plan team-fe sprint-0,Sprint 0,4h,CW-002,Evento visible en dashboard en menos de 5 min,Conversión visita a registro,FE,CW-003
CW-004 - Tracking de IDCar creada,Task,Highest,Emitir idcar_created al guardar primer vehículo,carswise execution-plan team-fe sprint-0,Sprint 0,4h,CW-002,Evento con user_id y car_id,Conversión registro a IDCar,FE,CW-004
CW-005 - Tracking de alerta configurada,Task,Highest,Emitir alert_configured al activar primera alerta,carswise execution-plan team-fe sprint-0,Sprint 0,4h,CW-002,Evento incluye tipo_alerta y canal,Conversión IDCar a alerta,FE,CW-005
CW-006 - Tracking de primer valor,Task,Highest,Emitir first_value_seen al abrir email de valor o módulo in-app,carswise execution-plan team-fe-be sprint-0,Sprint 0,8h,CW-002,Evento único por primer valor,Time to first value,FE+BE,CW-006
CW-007 - Tracking de trigger Plus,Task,Highest,Emitir plus_conversion_triggered al iniciar flujo de upgrade,carswise execution-plan team-fe-be sprint-0,Sprint 0,4h,CW-002,Evento trazable por cohorte,Conversión Free a Plus,FE+BE,CW-007
CW-008 - Dashboard del funnel,Task,Highest,Construir panel con 5 pasos y conversión por cohorte semanal,carswise execution-plan team-data sprint-0,Sprint 0,12h,CW-003|CW-004|CW-005|CW-006|CW-007,Panel con corte 7d y 30d,Drop-off por paso,DATA,CW-008
CW-009 - QA de eventos,Task,Highest,"Suite QA para validar orden, payload y no duplicación de eventos",carswise execution-plan team-qa sprint-0,Sprint 0,8h,CW-003|CW-004|CW-005|CW-006|CW-007,Checklist verde en flujo feliz y edge cases,Errores de instrumentación,QA,CW-009
CW-010 - Nueva página de pricing,Task,Highest,Separar visualmente Planes de Servicios bajo demanda,carswise execution-plan team-fe sprint-1,Sprint 1,16h,,Premium fuera de comparativa de planes,Comprensión de oferta en test,FE,CW-010
CW-011 - Copy final de pricing,Task,Highest,"Unificar copy en Control, Avisos, Ahorro y mensajes CTA",carswise execution-plan team-copy sprint-1,Sprint 1,8h,,Copy aprobado por negocio,CTR de CTA Plus,COPY,CW-011
CW-012 - Comparativa Free y Plus,Task,Highest,Mostrar solo Free y Plus en tabla principal,carswise execution-plan team-fe sprint-1,Sprint 1,4h,CW-010,Tabla limpia sin Premium,Confusión Plus vs Premium,FE,CW-012
CW-013 - Catalogo Premium separado,Task,Highest,Bloque independiente para Resolución y Mejora,carswise execution-plan team-fe sprint-1,Sprint 1,8h,CW-010,CTA por servicio disponible,Clicks a servicios premium,FE,CW-013
CW-014 - Tracking de pricing,Task,Highest,Medir view y clics de CTAs en pricing,carswise execution-plan team-fe-data sprint-1,Sprint 1,4h,CW-010,Eventos pricing_view y pricing_cta_* activos,CTR por bloque,FE+DATA,CW-014
CW-015 - Test de comprensión pricing,Task,Highest,Validación rápida con 5 usuarios para claridad de propuesta,carswise execution-plan team-qa-pm sprint-1,Sprint 1,8h,CW-010|CW-011,4 de 5 usuarios explican diferencia correcta,Tasa de comprensión,QA+PM,CW-015
CW-016 - Registro simplificado,Task,Highest,Reducir formulario a mínimos y eliminar fricción,carswise execution-plan team-fe sprint-2,Sprint 2,8h,,Alta completa en menos de 60 segundos,Abandono de formulario,FE,CW-016
CW-017 - Pantalla Añade tu coche,Task,Highest,Redirección inmediata post registro a crear IDCar,carswise execution-plan team-fe sprint-2,Sprint 2,4h,CW-016,Pantalla mostrada al 100 por ciento de nuevos registros,Conversión registro a IDCar,FE,CW-017
CW-018 - Creación IDCar en 2 pasos,Task,Highest,Implementar flujo corto con autocompletado cuando aplique,carswise execution-plan team-fe-be sprint-2,Sprint 2,16h,CW-017,IDCar creada sin pasos avanzados,Tiempo medio de alta IDCar,FE+BE,CW-018
CW-019 - Primera alerta en onboarding,Task,Highest,Forzar configuración de una alerta antes de finalizar onboarding,carswise execution-plan team-fe sprint-2,Sprint 2,8h,CW-018,alert_configured se dispara en onboarding,Conversión IDCar a alerta,FE,CW-019
CW-020 - Pantalla de confirmación onboarding,Task,Highest,Mostrar estado protegido y promesa de valor en 24h,carswise execution-plan team-fe-copy sprint-2,Sprint 2,4h,CW-019,Pantalla visible tras completar secuencia,Finalización de onboarding,FE+COPY,CW-020
CW-021 - Métricas activación sesión y 24h,Task,Highest,Crear dos KPIs de activación para evitar falso negativo,carswise execution-plan team-data sprint-2,Sprint 2,4h,CW-008|CW-019,KPIs visibles por cohorte,Activación en sesión y en 24h,DATA,CW-021
CW-022 - E2E onboarding,Task,Highest,Automatizar prueba registro a alerta para web desktop y mobile,carswise execution-plan team-qa sprint-2,Sprint 2,8h,CW-016|CW-017|CW-018|CW-019,Tests verdes en CI,Regresiones de onboarding,QA,CW-022
CW-023 - Modelo de datos de alertas,Task,Highest,Tabla y estados de alertas con auditoría y timestamps,carswise execution-plan team-be sprint-3,Sprint 3,12h,,Migración aplicada y reversible,Integridad de alertas,BE,CW-023
CW-024 - Job alerta ITV,Task,Highest,Generar avisos a 30 y 7 días,carswise execution-plan team-be sprint-3,Sprint 3,12h,CW-023,Alertas creadas en ventanas correctas,Cobertura de alertas ITV,BE,CW-024
CW-025 - Job alerta seguro,Task,Highest,Generar avisos por fecha de renovación del usuario,carswise execution-plan team-be sprint-3,Sprint 3,8h,CW-023,Alertas emitidas según fecha cargada,Cobertura de alertas seguro,BE,CW-025
CW-026 - Job alerta impuestos,Task,Highest,Generar avisos estacionales configurables,carswise execution-plan team-be sprint-3,Sprint 3,8h,CW-023,Regla configurable por periodo,Cobertura de alertas impuestos,BE,CW-026
CW-027 - Servicio de email y reintentos,Task,Highest,Enviar alertas por email con retry y logging de fallos,carswise execution-plan team-be sprint-3,Sprint 3,12h,CW-023,Reintentos y estado failed visibles,Delivery rate,BE,CW-027
CW-028 - Bandeja in-app de avisos,Task,Highest,Listar alertas pendientes y leídas en panel de usuario,carswise execution-plan team-fe sprint-3,Sprint 3,12h,CW-023,Listado operativo con marcado leído,Retorno a app por alertas,FE,CW-028
CW-029 - Panel salud de alertas,Task,Highest,"Monitorizar sent, opened, clicked, failed",carswise execution-plan team-data sprint-3,Sprint 3,8h,CW-024|CW-025|CW-026|CW-027,Dashboard con cortes diarios,Open rate y click rate,DATA,CW-029
CW-030 - QA de fecha y duplicados,Task,Highest,"Validar zonas horarias, ventanas y no duplicados",carswise execution-plan team-qa sprint-3,Sprint 3,8h,CW-024|CW-025|CW-026,Sin duplicados en test de carga,Errores de scheduler,QA,CW-030
CW-031 - Generación valor de mercado inicial,Task,Highest,Calcular valor inicial tras crear IDCar,carswise execution-plan team-be sprint-4,Sprint 4,12h,CW-018,Payload disponible para email y app,Tiempo a primer valor,BE,CW-031
CW-032 - Plantilla email primer valor,Task,Highest,Diseñar y montar email con valor personalizado por vehículo,carswise execution-plan team-copy-be sprint-4,Sprint 4,8h,CW-031,Plantilla aprobada y enviada,CTR de primer valor,COPY+BE,CW-032
CW-033 - SLA primer valor 24h,Task,Highest,Garantizar envío del primer valor en menos de 24h,carswise execution-plan team-be sprint-4,Sprint 4,8h,CW-031|CW-032,Monitoreo de cumplimiento activo,P50 y P90 de TTFV,BE,CW-033
CW-034 - Módulo in-app valor mercado,Task,Highest,Mostrar valor de mercado en home de usuario,carswise execution-plan team-fe sprint-4,Sprint 4,8h,CW-031,Widget visible y actualizado,first_value_seen in-app,FE,CW-034
CW-035 - Dashboard time-to-first-value,Task,Highest,Panel con percentiles y corte por cohorte,carswise execution-plan team-data sprint-4,Sprint 4,4h,CW-006|CW-031|CW-033,Métrica visible en tiempo real,Time to first value,DATA,CW-035
CW-036 - QA valor mercado,Task,Highest,Validar consistencia de datos entre email e in-app,carswise execution-plan team-qa sprint-4,Sprint 4,4h,CW-031|CW-032|CW-034,Sin inconsistencias funcionales,Errores de contenido,QA,CW-036
CW-037 - Trigger conductual de upgrade,Task,Highest,Mostrar invitación a Plus tras first_value_seen,carswise execution-plan team-fe sprint-5,Sprint 5,8h,CW-006|CW-034,Trigger solo en contexto útil,Conversión contextual,FE,CW-037
CW-038 - Checkout Plus con trial,Task,Highest,Implementar flujo de alta con 30 días trial,carswise execution-plan team-fe-be sprint-5,Sprint 5,16h,CW-037,Alta y cancelación funcionan,Free a Plus conversion,FE+BE,CW-038
CW-039 - Estado plan y trial en backend,Task,Highest,"Persistir estado del plan, trial_start y trial_end",carswise execution-plan team-be sprint-5,Sprint 5,8h,CW-038,API de estado coherente,Errores de estado de plan,BE,CW-039
CW-040 - Dashboard conversión a Plus,Task,Highest,Medir upgrade sobre cohortes con first_value_seen,carswise execution-plan team-data sprint-5,Sprint 5,4h,CW-037|CW-038,Panel con corte semanal,CVR Free a Plus,DATA,CW-040
CW-041 - E2E checkout y rollback,Task,Highest,"Validar éxito, fallo y retry de upgrade",carswise execution-plan team-qa sprint-5,Sprint 5,8h,CW-038|CW-039,Flujo estable en escenarios de error,Tasa de fallo checkout,QA,CW-041
